title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
Time-o1: Time-Series Forecasting Needs Transformed Label Alignment	NeurIPS	https://github.com/Master-PLC/Time-o1		https://openreview.net/forum?id=RxWILaXuhb	37644c73ed5b649539698a939d34d9d403cd9eb6	auto		True			poster
REVE: A Foundation Model for EEG - Adapting to Any Setup with Large-Scale Pretraining on 25,000 Subjects	NeurIPS			https://openreview.net/forum?id=ZeFMtRBy4Z		auto					poster
ModHiFi: Identifying High Fidelity predictive components for Model Modification	NeurIPS			https://openreview.net/forum?id=lClK4uBxSG		auto					spotlight
The Structure of Relation Decoding Linear Operators in Large Language Models	NeurIPS			https://openreview.net/forum?id=XsBzmJzJ2l		auto					spotlight
Vulnerable Data-Aware Adversarial Training	NeurIPS			https://openreview.net/forum?id=yrrU5YChQr		auto					poster
Tight analyses of first-order methods with error feedback	NeurIPS			https://openreview.net/forum?id=hlPk6Hi43e		auto					poster
Cost-Sensitive Freeze-thaw Bayesian Optimization for Efficient Hyperparameter Tuning	NeurIPS			https://openreview.net/forum?id=ZUb4JpNoJe		auto					poster
Novel Exploration via Orthogonality	NeurIPS			https://openreview.net/forum?id=yJS1eZSNUv		auto					poster
The Good, the Bad and the Ugly: Meta-Analysis of Watermarks, Transferable Attacks and Adversarial Defenses	NeurIPS			https://openreview.net/forum?id=NVDrWBwJTV		auto					poster
Improved Algorithms for Overlapping and Robust Clustering of Edge-Colored Hypergraphs: An LP-Based Combinatorial Approach	NeurIPS			https://openreview.net/forum?id=F3DrgOZYc6		auto					poster
GoalLadder: Incremental Goal Discovery with Vision-Language Models	NeurIPS			https://openreview.net/forum?id=BiowiwzQaO		auto					poster
CADGrasp: Learning Contact and Collision Aware General Dexterous Grasping in Cluttered Scenes	NeurIPS			https://openreview.net/forum?id=CB8jwNE2vV		auto					poster
KLASS: KL-Guided Fast Inference in Masked Diffusion Models	NeurIPS			https://openreview.net/forum?id=gOG9Zoyn4R		auto					spotlight
HM3: Hierarchical Multi-Objective Model Merging for Pretrained Models	NeurIPS			https://openreview.net/forum?id=JeP0lpusYw		auto					spotlight
Router-R1: Teaching LLMs Multi-Round Routing and Aggregation via Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=DWf4vroKWJ		auto					poster
Structure-Aware Spectral Sparsification via Uniform Edge Sampling	NeurIPS			https://openreview.net/forum?id=Z4eFqgYbha		auto					poster
Information-Theoretic Discrete Diffusion	NeurIPS	https://github.com/Dongjae0324/infodis		https://openreview.net/forum?id=B2iPEX5A9c	5af7f47d5e923557ccc1f609f45ea73325e89aa7	auto		True			poster
From Euler to AI: Unifying Formulas for Mathematical Constants	NeurIPS			https://openreview.net/forum?id=cNqMAmpZh4		auto					poster
CVGL: Causal Learning and Geometric Topology	NeurIPS			https://openreview.net/forum?id=1CqEAuRzHc		auto					poster
Q-Palette: Fractional-Bit Quantizers Toward Optimal Bit Allocation for Efficient LLM Deployment	NeurIPS	https://github.com/snu-mllab/Q-Palette		https://openreview.net/forum?id=l4F50jpiVH	025f27f311774d4618fcc0d47e4c8d33ee568a6c	auto		True			poster
Neural Evolution Strategy for Black-box Pareto Set Learning	NeurIPS			https://openreview.net/forum?id=pQ0D0vdjJv		auto					poster
Structured Sparse Transition Matrices to Enable State Tracking in State-Space Models	NeurIPS	https://github.com/IBM/expressive-sparse-state-space-model		https://openreview.net/forum?id=RDbuSCWhad	8682e78101be84f67ceb64702855e5d9e820f7d2	auto		True			spotlight
Towards Generalizable 3D Human Pose Estimation via Ensembles on Flat Loss Landscapes	NeurIPS			https://openreview.net/forum?id=nZ4mFzCZIx		auto					poster
Cross-modal Associations in Vision and Language Models: Revisiting the Bouba-Kiki Effect	NeurIPS			https://openreview.net/forum?id=gkcU26BOml		auto					poster
How Data Mixing Shapes In-Context Learning: Asymptotic Equivalence for Transformers with MLPs	NeurIPS			https://openreview.net/forum?id=615vk8hmeH		auto					poster
Generalized Linear Mode Connectivity for Transformers	NeurIPS			https://openreview.net/forum?id=KurYdcCbjv		auto					oral
Twilight: Adaptive Attention Sparsity with Hierarchical Top-$p$  Pruning	NeurIPS			https://openreview.net/forum?id=Ve693NkzcU		auto					spotlight
MASTER: Enhancing Large Language Model via Multi-Agent Simulated Teaching	NeurIPS			https://openreview.net/forum?id=5GaDcRVgBw		auto					poster
Self-Supervised Learning of Graph Representations for Network Intrusion Detection	NeurIPS			https://openreview.net/forum?id=5bu1IOOvf0		auto					poster
Kernel conditional tests from learning-theoretic bounds	NeurIPS			https://openreview.net/forum?id=hJKDwf32Xu		auto					poster
SPOT: Scalable Policy Optimization with Trees for Markov Decision Processes	NeurIPS			https://openreview.net/forum?id=OR5WyyTESh		auto					poster
Thinking in Character: Advancing Role-Playing Agents with Role-Aware Reasoning	NeurIPS			https://openreview.net/forum?id=geNdDlzKTG		auto					poster
Cyclic Counterfactuals under Shift–Scale Interventions	NeurIPS			https://openreview.net/forum?id=erwwuMhTJX		auto					poster
SAFEx: Analyzing Vulnerabilities of MoE-Based LLMs via Stable Safety-critical Expert Identification	NeurIPS			https://openreview.net/forum?id=VwsXmcMyg5		auto					poster
A geometric framework for momentum-based optimizers for low-rank training	NeurIPS			https://openreview.net/forum?id=cCefuzQrjK		auto					poster
Atomic Thinking of LLMs: Decoupling and Exploring Mathematical Reasoning Abilities	NeurIPS			https://openreview.net/forum?id=iBFfb6bGOz		auto					poster
Unveiling Concept Attribution in Diffusion Models	NeurIPS			https://openreview.net/forum?id=dVIx32Lq7J		auto					poster
Brain network science modelling of sparse neural networks enables Transformers and LLMs to perform as fully connected	NeurIPS	https://github.com/biomedical-cybernetics/Cannistraci-Hebb-Training-Soft-Rule-		https://openreview.net/forum?id=OM0Qkq9xtY	1f91f316ce449024ea8ed0ef73d819c14bfdd310	auto		True			poster
Uncertainty-Sensitive Privileged Learning	NeurIPS	https://github.com/FanmingL/USPL		https://openreview.net/forum?id=00Bwl1woOJ	9eeb78bd35d581917608d19d5d443a4231772897	auto		True			poster
Joint Modeling of fMRI and EEG Imaging Using Ordinary Differential Equation-Based Hypergraph Neural Networks	NeurIPS			https://openreview.net/forum?id=qJLPlZSdkb		auto					poster
Improving Target Sound Extraction via Disentangled Codec Representations with Privileged Knowledge Distillation	NeurIPS			https://openreview.net/forum?id=rew03VaNUJ		auto					poster
MLEP: Multi-granularity Local Entropy Patterns for Generalized AI-generated Image Detection	NeurIPS			https://openreview.net/forum?id=Bsska2ayiy		auto					poster
Reasoning Models Sometimes Output Illegible Chains of Thought	NeurIPS			https://openreview.net/forum?id=w1TjXJk846		auto					poster
JanusDNA: A Powerful Bi-directional Hybrid DNA Foundation Model	NeurIPS			https://openreview.net/forum?id=9PL1DIIB7e		auto					poster
PubSub-VFL: Towards Efficient Two-Party Split Learning in Heterogeneous Environments via Publisher/Subscriber Architecture	NeurIPS			https://openreview.net/forum?id=B5mEYUJi85		auto					poster
Bohdi: Heterogeneous LLM Fusion with Automatic Data Exploration	NeurIPS			https://openreview.net/forum?id=wVxIBvUAlj		auto					poster
How Does Sequence Modeling Architecture Influence Base Capabilities of Pre-trained Language Models? Exploring Key Architecture Design Principles to Avoid Base Capabilities Degradation	NeurIPS			https://openreview.net/forum?id=vMkJWaa02n		auto					poster
Iterative Missing Data Imputation with Model Form Adaptation and Non-Missing Feature Supervision	NeurIPS	https://github.com/FMLYD/kpi.git		https://openreview.net/forum?id=L84DdFuvwV	7defe11ad58a7f35ea830b98cdf5aff62693bb1c	auto		True			poster
Reinforcement Learning with Backtracking Feedback	NeurIPS			https://openreview.net/forum?id=14B5d6NEaH		auto					poster
Exploring Landscapes for Better Minima along Valleys	NeurIPS			https://openreview.net/forum?id=XxRKqFsvoK		auto					poster
Safe RLHF-V: Safe Reinforcement Learning from Multi-modal Human Feedback	NeurIPS			https://openreview.net/forum?id=OIH3T5ZPBW		auto					poster
World-aware Planning Narratives Enhance Large Vision-Language Model Planner	NeurIPS			https://openreview.net/forum?id=fggSyPPk0K		auto					poster
An Analysis of Causal Effect Estimation using Outcome Invariant Data Augmentation	NeurIPS			https://openreview.net/forum?id=C1LVIInfZO		auto					spotlight
Embodied Cognition Augmented End2End Autonomous Driving	NeurIPS	https://github.com/AIR-DISCOVER/E-cubed-AD		https://openreview.net/forum?id=0MXUkBmm09	5396a683022c0c2124b4dbe5c69cfdc8de35d6cb	auto		True			poster
Feature-aware Modulation for Learning from Temporal Tabular Data	NeurIPS			https://openreview.net/forum?id=88MXvVn5dl		auto					poster
Seemingly Redundant Modules Enhance Robust Odor Learning in Fruit Flies	NeurIPS			https://openreview.net/forum?id=d6WUTRJqP3		auto					poster
Brain-tuning Improves Generalizability and Efficiency of Brain Alignment in Speech Models	NeurIPS	https://github.com/bridge-ai-neuro/multi-brain-tuning		https://openreview.net/forum?id=4jgsUhWWaF	3c368d2e2a7f728c6605b8fc2794dbb64d1b8940	auto		True			poster
Multi-Agent Imitation by Learning and Sampling from Factorized Soft Q-Function	NeurIPS	https://github.com/LAMDA-RL/MAFIS		https://openreview.net/forum?id=RbkHARGCcH	8dcb06921cab4ea1833586189ed6abc32041d141	auto		True			poster
Root Cause Analysis of Outliers with Missing Structural Knowledge	NeurIPS			https://openreview.net/forum?id=7Nxq4RQApu		auto					poster
Deciphering the Extremes: A Novel Approach for Pathological Long-tailed Recognition in Scientific Discovery	NeurIPS			https://openreview.net/forum?id=E16vULI6AF		auto					spotlight
Causal Mixture Models: Characterization and Discovery	NeurIPS			https://openreview.net/forum?id=aI3d897dgV		auto					poster
From Dormant to Deleted: Tamper-Resistant Unlearning Through Weight-Space Regularization	NeurIPS			https://openreview.net/forum?id=Zrqn7ZshXG		auto					poster
TV-Rec: Time-Variant Convolutional Filter for Sequential Recommendation	NeurIPS			https://openreview.net/forum?id=cWEssTIwG5		auto					poster
AutoSciDACT: Automated Scientific Discovery through Contrastive Embedding and Hypothesis Testing	NeurIPS			https://openreview.net/forum?id=vKyiv67VWa		auto					poster
Multivariate Latent Recalibration for Conditional Normalizing Flows	NeurIPS			https://openreview.net/forum?id=nO8ShqG2ci		auto					poster
Teaching Language Models to Reason with Tools	NeurIPS	https://github.com/ChengpengLi1003/CoRT		https://openreview.net/forum?id=kRZVz1qEqa	d04f405b91b1097ed683de340079e5e4b4b28e9c	auto		True			poster
Generative Modeling of Full-Atom Protein Conformations using Latent Diffusion on Graph Embeddings	NeurIPS			https://openreview.net/forum?id=JPjMXgQQxk		auto					poster
Price of Parsimony: Complexity of Fourier Sparsity Testing	NeurIPS			https://openreview.net/forum?id=7bCPXHq8xV		auto					poster
CoCoA: A Minimum Bayes Risk Framework Bridging Confidence and Consistency for Uncertainty Quantification in LLMs	NeurIPS			https://openreview.net/forum?id=H1NGlLNaVC		auto					poster
OpenCUA: Open Foundations for Computer-Use Agents	NeurIPS			https://openreview.net/forum?id=6iRZvJiC9Q		auto					spotlight
On the Global Optimality of Policy Gradient Methods in General Utility Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=aq9Nc5NvNc		auto					poster
Near-Optimal Experiment Design in Linear non-Gaussian Cyclic Models	NeurIPS			https://openreview.net/forum?id=opAU0pYlcP		auto					spotlight
Hybrid Latent Representations for PDE Emulation	NeurIPS			https://openreview.net/forum?id=Hh8ebJYQs3		auto					poster
MoodAngels: A Retrieval-augmented Multi-agent Framework for Psychiatry Diagnosis	NeurIPS			https://openreview.net/forum?id=AWU93F6Bup		auto					poster
Meta-learning how to Share Credit among Macro-Actions	NeurIPS			https://openreview.net/forum?id=cJlgdpEFx9		auto					poster
Mitigating Spurious Features in Contrastive Learning with Spectral Regularization	NeurIPS	https://github.com/NaghmehGh/SpuriousCorrelation_SSRL		https://openreview.net/forum?id=TPMsCus3r0	bff5495dc4e2a022dd4e8dea85d8e0862b01f6f7	auto		True			poster
FedFACT: A Provable Framework for Controllable Group-Fairness Calibration in Federated Learning	NeurIPS			https://openreview.net/forum?id=6lCY5bLW8E		auto					poster
Transformer Key-Value Memories Are Nearly as Interpretable as Sparse Autoencoders	NeurIPS			https://openreview.net/forum?id=2TKEGTfQBd		auto					poster
Beyond Oracle: Verifier-Supervision for Instruction Hierarchy in Reasoning and Instruction-Tuned LLMs	NeurIPS	https://github.com/cycraft-corp/BeyondOracle		https://openreview.net/forum?id=IQ513IX1G5	cc014a977db3493756c1a71088b28458c4bf17d8	auto		True			poster
ASDSV: Multimodal Generation Made Efficient with Approximate Speculative Diffusion and Speculative Verification	NeurIPS			https://openreview.net/forum?id=IIGiVRKJYa		auto					poster
Towards Accurate Time Series Forecasting via Implicit Decoding	NeurIPS	https://github.com/rakuyorain/Implicit-Forecaster		https://openreview.net/forum?id=gqoeQPhQcE	e3e7f77fb0489c2b5e58eac990096668b8b0aff4	auto		True			poster
SAFEPATH: Preventing Harmful Reasoning in Chain-of-Thought via Early Alignment	NeurIPS			https://openreview.net/forum?id=vIaNnnQxcl		auto					poster
Diffusing DeBias: Synthetic Bias Amplification for Model Debiasing	NeurIPS	https://github.com/Malga-Vision/DiffusingDeBias		https://openreview.net/forum?id=66Z5tS8E45	80b526a0c50b4420395732126483ea727ff8ded7	auto		True			poster
Escaping saddle points without Lipschitz smoothness: the power of nonlinear preconditioning	NeurIPS			https://openreview.net/forum?id=7qrhHzZpTA		auto					spotlight
Perturb a Model, Not an Image: Towards Robust Privacy Protection via Anti-Personalized Diffusion Models	NeurIPS	https://github.com/KU-VGI/APDM		https://openreview.net/forum?id=5XoqKCmkS7	59e3cbc79e6961e75ce32ee410e9ae14915719ea	auto		True			poster
Why Playing Against Diverse and Challenging Opponents Speeds Up Coevolution: A Theoretical Analysis on Combinatorial Games	NeurIPS			https://openreview.net/forum?id=wWSVjaVZBu		auto					poster
Theoretical Guarantees for the Retention of Strict Nash Equilibria by Coevolutionary Algorithms	NeurIPS			https://openreview.net/forum?id=e5QEGDVsqn		auto					poster
Stochastic Principal-Agent Problems: Computing and Learning Optimal History-Dependent Policies	NeurIPS			https://openreview.net/forum?id=u0rNHqMpFD		auto					poster
Large language models can learn and generalize steganographic chain-of-thought under process supervision	NeurIPS			https://openreview.net/forum?id=2g5cJqX15Y		auto					poster
PyraMotion: Attentional Pyramid-Structured Motion Integration for Co-Speech 3D Gesture Synthesis	NeurIPS			https://openreview.net/forum?id=QJSrgYcf4b		auto					poster
Monoculture or Multiplicity: Which Is It?	NeurIPS			https://openreview.net/forum?id=DO5LtJc80w		auto					poster
Scalable Evaluation and Neural Models for Compositional Generalization	NeurIPS			https://openreview.net/forum?id=heQsyrMDzm		auto					poster
MuRating: A High Quality Data Selecting Approach to Multilingual Large Language Model Pretraining	NeurIPS			https://openreview.net/forum?id=jHWCeU39Ft		auto					poster
Diffusion Adaptive Text Embedding for Text-to-Image Diffusion Models	NeurIPS	https://github.com/aailab-kaist/DATE		https://openreview.net/forum?id=cHi8QxGrZH	d7dcd1e36b077b21ce837f0be758f45c59aebd3e	auto		True			poster
Activation Control for Efficiently Eliciting Long Chain-of-thought Ability of Language Models	NeurIPS			https://openreview.net/forum?id=XNo4yS9n1k		auto					spotlight
LinEAS: End-to-end Learning of Activation Steering with a Distributional Loss	NeurIPS			https://openreview.net/forum?id=EBONa3tT3K		auto					poster
PDEfuncta: Spectrally-Aware Neural Representation for PDE Solution Modeling	NeurIPS			https://openreview.net/forum?id=NfBrMDF0Xi		auto					poster
Minimizing False-Positive Attributions in Explanations of Non-Linear Models	NeurIPS			https://openreview.net/forum?id=ORrCEtiiVX		auto					poster
Rethinking PCA Through Duality	NeurIPS			https://openreview.net/forum?id=IFQBrEAuQ6		auto					poster
A Markov Decision Process for Variable Selection in Branch & Bound	NeurIPS			https://openreview.net/forum?id=05Svr0k5C9		auto					poster
Disentangled Cross-Modal Representation Learning with Enhanced Mutual Supervision	NeurIPS			https://openreview.net/forum?id=sFyTsO2qO3		auto					poster
Bandit Guided Submodular Curriculum for Adaptive Subset Selection	NeurIPS	https://github.com/efficiency-learning/banditsubmod		https://openreview.net/forum?id=Y1UVWWWGKB	f33ad731be3994ce2ff83268a841e7c3db6fde0f	auto		True			poster
FastDINOv2: Frequency Based Curriculum Learning Improves Robustness and Training Speed	NeurIPS			https://openreview.net/forum?id=wN7aPpCfSx		auto					poster
Direct Fisher Score Estimation for Likelihood Maximization	NeurIPS			https://openreview.net/forum?id=2h8bFmEQwh		auto					spotlight
Training-Free Safe Text Embedding Guidance for Text-to-Image Diffusion Models	NeurIPS	https://github.com/aailab-kaist/STG		https://openreview.net/forum?id=fbDHv2LQZJ	8b0a8fd2a75f66e19fd80b2d221f7a62ffee0d8d	auto		True			poster
Path-Enhanced Contrastive Learning for Recommendation	NeurIPS			https://openreview.net/forum?id=xKmlBQhgI4		auto					spotlight
T-REGS: Minimum Spanning Tree Regularization for Self-Supervised Learning	NeurIPS			https://openreview.net/forum?id=jvObbvshjE		auto					spotlight
Learning conformational ensembles of proteins based on backbone geometry	NeurIPS	https://github.com/graeter-group/bbflow		https://openreview.net/forum?id=1frqf6iY4v	acd9ebfe653a3e8bcdb4230c63f7716dce36417f	auto		True			poster
Generating Informative Samples for Risk-Averse Fine-Tuning of Downstream Tasks	NeurIPS			https://openreview.net/forum?id=kfB5Ciz2XZ		auto					spotlight
AceSearcher: Bootstrapping Reasoning and Search for LLMs via Reinforced Self-Play	NeurIPS			https://openreview.net/forum?id=jSgCM0uZn3		auto					spotlight
Constrained Best Arm Identification	NeurIPS			https://openreview.net/forum?id=JTNvG0jTaJ		auto					poster
Towards Visualization-of-Thought Jailbreak Attack against Large Visual Language Models	NeurIPS	https://github.com/Hongqiong12/VoTA		https://openreview.net/forum?id=5P5YgohyBZ	eac2ab646abd6bdc9eb97d30579195e4b8d7bc19	auto		True			poster
The Cost of Robustness: Tighter Bounds on Parameter Complexity for Robust Memorization in ReLU Nets	NeurIPS			https://openreview.net/forum?id=Jsln9ZyMl4		auto					poster
DeltaFlow: An Efficient Multi-frame Scene Flow Estimation Method	NeurIPS	https://github.com/Kin-Zhang/DeltaFlow		https://openreview.net/forum?id=T9qNDtvAJX	6401aa98d98dc7b3b4d0271da19d2ba6c2ac842f	auto		True			spotlight
Mixing Expert Knowledge: Bring Human Thoughts Back To the Game of Go	NeurIPS			https://openreview.net/forum?id=baNBqpzvMT		auto					poster
MetaKoopman: Bayesian Meta-Learning of Koopman Operators for Modeling Structured Dynamics under Distribution Shifts	NeurIPS			https://openreview.net/forum?id=BJ3z1hYuKx		auto					poster
Spike-RetinexFormer: Rethinking Low-light Image Enhancement with Spiking Neural Networks	NeurIPS			https://openreview.net/forum?id=8W8SRZIpJP		auto					poster
IPAD: Inverse Prompt for AI Detection - A Robust and Interpretable LLM-Generated Text Detector	NeurIPS			https://openreview.net/forum?id=3JoQTGhUzz		auto					poster
Making Classic GNNs Strong Baselines Across Varying Homophily: A Smoothness–Generalization Perspective	NeurIPS	https://github.com/galogm/IGNN		https://openreview.net/forum?id=IAGbhDARZd	7a1bb0adb3ccb78e193276e181cbf8d2090ed61f	auto		True			poster
Unveiling the Uncertainty in Embodied and Operational Carbon of Large AI Models through a Probabilistic Carbon Accounting Model	NeurIPS			https://openreview.net/forum?id=9QyNYxKeKr		auto					poster
Graph-Theoretic Insights into Bayesian Personalized Ranking for Recommendation	NeurIPS			https://openreview.net/forum?id=tmtUA2X57D		auto					poster
From Linear to Nonlinear: Provable Weak-to-Strong Generalization through Feature Learning	NeurIPS			https://openreview.net/forum?id=xMiKDqxEE8		auto					poster
STAR: Efficient Preference-based Reinforcement Learning via Dual Regularization	NeurIPS			https://openreview.net/forum?id=E9EwDc45f8		auto					poster
CURV: Coherent Uncertainty-Aware Reasoning in Vision-Language Models for X-Ray Report Generation	NeurIPS			https://openreview.net/forum?id=3BTqvtwZYY		auto					poster
EvaLearn: Quantifying the Learning Capability and Efficiency of LLMs via Sequential Problem Solving	NeurIPS			https://openreview.net/forum?id=rRHuBZdDfY		auto					poster
Simple and Efficient Heterogeneous Temporal Graph Neural Network	NeurIPS			https://openreview.net/forum?id=FOkbHmaW0I		auto					poster
Rethinking Out-of-Distribution Detection and Generalization with Collective Behavior Dynamics	NeurIPS			https://openreview.net/forum?id=VD22PY0fZm		auto					poster
FracFace: Breaking the Visual Clues—Fractal-Based Privacy-Preserving Face Recognition	NeurIPS			https://openreview.net/forum?id=JSSvYZKvL8		auto					poster
An Adaptive Quantum Circuit of Dempster's Rule of Combination for Uncertain Pattern Classification	NeurIPS			https://openreview.net/forum?id=caSQXNsxXX		auto					poster
TARFVAE: Efficient One-Step Generative Time Series Forecasting via TARFLOW based VAE	NeurIPS	https://github.com/Gavine77/TARFVAE		https://openreview.net/forum?id=3hnqwOq7iT	a7768dd0e52f3132bb34236234ebe00a1b47e09d	auto		True			poster
FairDICE: Fairness-Driven Offline Multi-Objective Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=2jQJ7aNdT1		auto					poster
One for All: Universal Topological Primitive Transfer for Graph Structure Learning	NeurIPS			https://openreview.net/forum?id=o4lJrA0s3I		auto					poster
EVOREFUSE: Evolutionary Prompt Optimization for Evaluation and Mitigation of LLM Over-Refusal to Pseudo-Malicious Instructions	NeurIPS	https://github.com/FishT0ucher/EVOREFUSE		https://openreview.net/forum?id=dbq6NZfi3c	a9585955e1a6f259eb77ca56a078fc21129aef9a	auto		True			poster
Dynamic Regret Reduces to Kernelized Static Regret	NeurIPS			https://openreview.net/forum?id=4LSulRbbeL		auto					poster
A Differential and Pointwise Control Approach to Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=xpVkYQofw9		auto					poster
Web-Shepherd: Advancing PRMs for Reinforcing Web Agents	NeurIPS	https://github.com/kyle8581/Web-Shepherd		https://openreview.net/forum?id=G2kMroO9UV	b87898f614e43d7a5bdb738eaf6b01d416be24c2	auto		True			spotlight
The Quest for Universal Master Key Filters in DS-CNNs	NeurIPS			https://openreview.net/forum?id=lYnNzmFt7r		auto					poster
Scaling Code-Assisted Chain-of-Thoughts and Instructions for Model Reasoning	NeurIPS			https://openreview.net/forum?id=b7bOWd3kUL		auto					poster
Scalable Feature Learning on Huge Knowledge Graphs for Downstream Machine Learning	NeurIPS	https://github.com/soda-inria/sepal		https://openreview.net/forum?id=PJrvX7Jz2c	359449332f912e584f8c97c523877662f526745e	auto		True			poster
How do Transformers Learn Implicit Reasoning?	NeurIPS			https://openreview.net/forum?id=19ygs48nOa		auto					spotlight
Deep Compositional Phase Diffusion for Long Motion Sequence Generation	NeurIPS	https://github.com/asdryau/TransPhase		https://openreview.net/forum?id=jzPQRbGkAq	75b1ec852b1ccb8fd932f29ac199aed5db02cbf2	auto		True			oral
When Kernels Multiply, Clusters Unify: Fusing Embeddings with the Kronecker Product	NeurIPS	https://github.com/yokiwuuu/KrossFuse		https://openreview.net/forum?id=XougXwZAHI	e67ddac562c6e3cedc83997e80b0b7c67c506ff2	auto		True			poster
ConceptScope: Characterizing Dataset Bias via Disentangled Visual Concepts	NeurIPS			https://openreview.net/forum?id=lkmlNHuzY4		auto					poster
CLAWS:Creativity detection for LLM-generated solutions using Attention Window of Sections	NeurIPS	https://github.com/kkt94/CLAWS		https://openreview.net/forum?id=yiSoT2pHfk	a05ffc93b32e0cd2d23a87bccf0752422b91508e	auto		True			poster
Robot-R1: Reinforcement Learning for Enhanced Embodied Reasoning in Robotics	NeurIPS			https://openreview.net/forum?id=N2bLuwofZ0		auto					poster
Joint Relational Database Generation via Graph-Conditional Diffusion Models	NeurIPS	https://github.com/ketatam/rdb-diffusion		https://openreview.net/forum?id=Z3OtNSwuXX	bc0fb67b9cc6fc9a074e4c346cb2b717521f5444	auto		True			poster
Wasserstein Convergence of Critically Damped Langevin Diffusions	NeurIPS			https://openreview.net/forum?id=a7bisLzORM		auto					poster
Efficient Low Rank Attention for Long-Context Inference in Large Language Models	NeurIPS	https://github.com/tenghuilee/LRQK		https://openreview.net/forum?id=Mc0eJHZhW5	a27120254c44f65b7cd13c775b506edf9daad57b	auto		True			poster
Learning Memory-Enhanced Improvement Heuristics for Flexible Job Shop Scheduling	NeurIPS			https://openreview.net/forum?id=sdlLycSeZl		auto					poster
On the sample complexity of semi-supervised multi-objective learning	NeurIPS			https://openreview.net/forum?id=IrgQe6YjKm		auto					spotlight
Diversifying Parallel Ergodic Search: A Signature Kernel Evolution Strategy	NeurIPS			https://openreview.net/forum?id=3XuUnUEI7e		auto					poster
Diversity-Aware Policy Optimization for Large Language Model Reasoning	NeurIPS			https://openreview.net/forum?id=5eZ0iykpDU		auto					spotlight
Elastic ViTs from Pretrained Models without Retraining	NeurIPS			https://openreview.net/forum?id=OU6FXkSIe0		auto					poster
S-Crescendo: A Nested Transformer Weaving Framework for Scalable Nonlinear System in S-Domain Representation	NeurIPS			https://openreview.net/forum?id=Y6tRVadmgo		auto					poster
Fixed-Point RNNs: Interpolating from Diagonal to Dense	NeurIPS			https://openreview.net/forum?id=KT8y9pFgJE		auto					spotlight
Adaptive Time Encoding for Irregular Multivariate Time-Series Classification	NeurIPS			https://openreview.net/forum?id=l0kR6m9NDT		auto					poster
Prior Forgetting and In-Context Overfitting	NeurIPS			https://openreview.net/forum?id=p37Kd7EQhy		auto					poster
Boosting Adversarial Transferability with Spatial Adversarial Alignment	NeurIPS			https://openreview.net/forum?id=seCBUZYs5c		auto					poster
Direct3D-S2: Gigascale 3D Generation Made Easy with Spatial Sparse Attention	NeurIPS			https://openreview.net/forum?id=ZYHzcZFEGD		auto					poster
Addressing Mark Imbalance in Integration-free Marked Temporal Point Processes	NeurIPS	https://github.com/undes1red/IFNMTPP		https://openreview.net/forum?id=lUtNvMiW3C	c5bb6e6dc45edc39544d61f476c5e3e013eb3923	auto		True			poster
More Than Just Functional: LLM-as-a-Critique for Efficient Code Generation	NeurIPS			https://openreview.net/forum?id=0Zri6HSYaK		auto					poster
A Circular Argument: Does RoPE need to be Equivariant for Vision?	NeurIPS			https://openreview.net/forum?id=WCenI6RU9s		auto					poster
UnCLe: Towards Scalable Dynamic Causal Discovery in Non-linear Temporal Systems	NeurIPS			https://openreview.net/forum?id=wGZPNMEHjP		auto					poster
Beyond Least Squares: Uniform Approximation and the Hidden Cost of Misspecification	NeurIPS			https://openreview.net/forum?id=2T2zMiqcY6		auto					poster
Preference-driven Knowledge Distillation for Few-shot Node Classification	NeurIPS	https://github.com/GEEX-Weixing/PKD		https://openreview.net/forum?id=60I6TzuHOb	1da94a2332f3728874c8ff9f27b581c0fa7c01fd	auto		True			poster
AudSemThinker: Enhancing Audio-Language Models Through Reasoning over Semantics of Sound	NeurIPS			https://openreview.net/forum?id=pozsP0ZcZN		auto					poster
On Evaluating Policies for Robust POMDPs	NeurIPS			https://openreview.net/forum?id=l2Wl77TSYY		auto					poster
Neural Rule Lists: Learning Discretizations, Rules, and Order in One Go	NeurIPS			https://openreview.net/forum?id=oBf5eZSeBT		auto					poster
Efficient Preference-Based Reinforcement Learning: Randomized Exploration meets Experimental Design	NeurIPS			https://openreview.net/forum?id=qEfgajdKea		auto					poster
"Statistical Analysis of the Sinkhorn Iterations for Two-Sample Schr\""{o}dinger Bridge Estimation"	NeurIPS			https://openreview.net/forum?id=DsGrLE9gqv		auto					poster
Test-Time Adaptation by Causal Trimming	NeurIPS			https://openreview.net/forum?id=zFGdHL9pcD		auto					poster
Learning to Insert for Constructive Neural Vehicle Routing Solver	NeurIPS	https://github.com/CIAM-Group/L2C		https://openreview.net/forum?id=SXr3Dynctm		auto		False			poster
NOBLE - Neural Operator with Biologically-informed Latent Embeddings to Capture Experimental Variability in Biological Neuron Models	NeurIPS			https://openreview.net/forum?id=CmY6DzEG7Z		auto					poster
